bus_registration_number,is_ac,agency
DL1PC4104,False,DIMTS
DL1PC4106,False,DIMTS
DL1PC4125,False,DIMTS
DL1PC4128,False,DIMTS
DL1PC4140,False,DIMTS
DL1PC4162,False,DIMTS
DL1PC4172,False,DIMTS
DL1PC4480,False,DIMTS
DL1PC4640,False,DIMTS
DL1PC4643,False,DIMTS
DL1PC4644,False,DIMTS
DL1PC4706,False,DIMTS
DL1PC4708,False,DIMTS
DL1PC4709,False,DIMTS
DL1PC4710,False,DIMTS
DL1PC4717,False,DIMTS
DL1PC4723,False,DIMTS
DL1PC4725,False,DIMTS
DL1PC4780,False,DIMTS
DL1PC4784,False,DIMTS
DL1PC4786,False,DIMTS
DL1PC4787,False,DIMTS
DL1PC4788,False,DIMTS
DL1PC4789,False,DIMTS
DL1PC4791,False,DIMTS
DL1PC4826,False,DIMTS
DL1PC4827,False,DIMTS
DL1PC4828,False,DIMTS
DL1PC4829,False,DIMTS
DL1PC4838,False,DIMTS
DL1PC4839,False,DIMTS
DL1PC4841,False,DIMTS
DL1PC4843,False,DIMTS
DL1PC4854,False,DIMTS
DL1PC4855,False,DIMTS
DL1PC4856,False,DIMTS
DL1PC4859,False,DIMTS
DL1PC4861,False,DIMTS
DL1PC4862,False,DIMTS
DL1PC4863,False,DIMTS
DL1PC5744,False,DIMTS
DL1PC5745,False,DIMTS
DL1PC5746,False,DIMTS
DL1PC5749,False,DIMTS
DL1PC5750,False,DIMTS
DL1PC5850,False,DIMTS
DL1PC5851,False,DIMTS
DL1PC5852,False,DIMTS
DL1PC5853,False,DIMTS
DL1PC5856,False,DIMTS
DL1PC5861,False,DIMTS
DL1PC5862,False,DIMTS
DL1PC5863,False,DIMTS
DL1PC5864,False,DIMTS
DL1PC5865,False,DIMTS
DL1PC5866,False,DIMTS
DL1PC5938,False,DIMTS
DL1PC5939,False,DIMTS
DL1PC5943,False,DIMTS
DL1PC6491,False,DIMTS
DL1PC6502,False,DIMTS
DL1PC6503,False,DIMTS
DL1PC6504,False,DIMTS
DL1PC6505,False,DIMTS
DL1PC6507,False,DIMTS
DL1PC6508,False,DIMTS
DL1PC6509,False,DIMTS
DL1PC6526,False,DIMTS
DL1PC6527,False,DIMTS
DL1PC6528,False,DIMTS
DL1PC6529,False,DIMTS
DL1PC6530,False,DIMTS
DL1PC6531,False,DIMTS
DL1PC6635,False,DIMTS
DL1PC6718,False,DIMTS
DL1PC6739,False,DIMTS
DL1PC6741,False,DIMTS
DL1PC6742,False,DIMTS
DL1PC6743,False,DIMTS
DL1PC6744,False,DIMTS
DL1PC6746,False,DIMTS
DL1PC6747,False,DIMTS
DL1PC6748,False,DIMTS
DL1PC6749,False,DIMTS
DL1PD2184,False,DIMTS
DL1PD2190,False,DIMTS
DL1PD2196,False,DIMTS
DL1PD2198,False,DIMTS
DL1PD2208,False,DIMTS
DL1PD2219,False,DIMTS
DL1PD2223,False,DIMTS
DL1PD2230,False,DIMTS
DL1PD2249,False,DIMTS
DL1PD2253,False,DIMTS
DL1PD2254,False,DIMTS
DL1PD2256,False,DIMTS
DL1PD2261,False,DIMTS
DL1PD2267,False,DIMTS
DL1PD2274,False,DIMTS
DL1PD2278,False,DIMTS
DL1PD2281,False,DIMTS
DL1PD2284,False,DIMTS
DL1PD2287,False,DIMTS
DL1PD2290,False,DIMTS
DL1PD2297,False,DIMTS
DL1PD2298,False,DIMTS
DL1PD2302,False,DIMTS
DL1PD2304,False,DIMTS
DL1PD2308,False,DIMTS
DL1PD2313,False,DIMTS
DL1PD2319,False,DIMTS
DL1PD2327,False,DIMTS
DL1PD2330,False,DIMTS
DL1PD2332,False,DIMTS
DL1PD2341,False,DIMTS
DL1PD2342,False,DIMTS
DL1PD2347,False,DIMTS
DL1PD2348,False,DIMTS
DL1PD2349,False,DIMTS
DL1PD2352,False,DIMTS
DL1PD2355,False,DIMTS
DL1PD2360,False,DIMTS
DL1PD2361,False,DIMTS
DL1PD2362,False,DIMTS
DL1PD2372,False,DIMTS
DL1PD2373,False,DIMTS
DL1PD2440,False,DIMTS
DL1PD2461,False,DIMTS
DL1PD2469,False,DIMTS
DL1PD2617,False,DIMTS
DL1PD2618,False,DIMTS
DL1PD2659,False,DIMTS
DL1PD2662,False,DIMTS
DL1PD2664,False,DIMTS
DL1PD3490,False,DIMTS
DL1PD3605,False,DIMTS
DL1PD3613,False,DIMTS
DL1PD3618,False,DIMTS
DL1PD3623,False,DIMTS
DL1PD3625,False,DIMTS
DL1PD3633,False,DIMTS
DL1PD3651,False,DIMTS
DL1PD3653,False,DIMTS
DL1PD3663,False,DIMTS
DL1PD3664,False,DIMTS
DL1PD3674,False,DIMTS
DL1PD3677,False,DIMTS
DL1PD3692,False,DIMTS
DL1PD3710,False,DIMTS
DL1PD3724,False,DIMTS
DL1PD4786,False,DIMTS
DL1PD4789,False,DIMTS
DL1PD4791,False,DIMTS
DL1PD4795,False,DIMTS
DL1PD4798,False,DIMTS
DL1PD4802,False,DIMTS
DL1PD4806,False,DIMTS
DL1PD4810,False,DIMTS
DL1PD4815,False,DIMTS
DL1PD4817,False,DIMTS
DL1PD4819,False,DIMTS
DL1PD4830,False,DIMTS
DL1PD4849,False,DIMTS
DL1PD4861,False,DIMTS
DL1PD4862,False,DIMTS
DL1PD4886,False,DIMTS
DL1PD4896,False,DIMTS
DL1PD4900,False,DIMTS
DL1PD4907,False,DIMTS
DL1PD4909,False,DIMTS
DL1PD4921,False,DIMTS
DL1PD4932,False,DIMTS
DL1PD4942,False,DIMTS
DL1PD4947,False,DIMTS
DL1PD4957,False,DIMTS
DL1PD4961,False,DIMTS
DL1PD4963,False,DIMTS
DL1PD4966,False,DIMTS
DL1PD4974,False,DIMTS
DL1PD4977,False,DIMTS
DL1PD4980,False,DIMTS
DL1PD4983,False,DIMTS
DL1PD4998,False,DIMTS
DL1PD4999,False,DIMTS
DL1PD5001,False,DIMTS
DL1PD5004,False,DIMTS
DL1PD5006,False,DIMTS
DL1PD5007,False,DIMTS
DL1PD5011,False,DIMTS
DL1PD5013,False,DIMTS
DL1PD5019,False,DIMTS
DL1PD5020,False,DIMTS
DL1PD5026,False,DIMTS
DL1PD5035,False,DIMTS
DL1PD5038,False,DIMTS
DL1PD5039,False,DIMTS
DL1PD5046,False,DIMTS
DL1PD5052,False,DIMTS
DL1PD5054,False,DIMTS
DL1PD5062,False,DIMTS
DL1PD5072,False,DIMTS
DL1PD5078,False,DIMTS
DL1PD5079,False,DIMTS
DL1PD5082,False,DIMTS
DL1PD5102,False,DIMTS
DL1PD5122,False,DIMTS
DL1PD5131,False,DIMTS
DL1PD5173,False,DIMTS
DL1PD5180,False,DIMTS
DL1PD5182,False,DIMTS
DL1PD5185,False,DIMTS
DL1PD5187,False,DIMTS
DL1PD5188,False,DIMTS
DL1PD5191,False,DIMTS
DL1PD5198,False,DIMTS
DL1PD5201,False,DIMTS
DL1PD5205,False,DIMTS
DL1PD5209,False,DIMTS
DL1PD5213,False,DIMTS
DL1PD5222,False,DIMTS
DL1PD5227,False,DIMTS
DL1PD5228,False,DIMTS
DL1PD5239,False,DIMTS
DL1PD5243,False,DIMTS
DL1PD5249,False,DIMTS
DL1PD5254,False,DIMTS
DL1PD5260,False,DIMTS
DL1PD5267,False,DIMTS
DL1PD5269,False,DIMTS
DL1PD5270,False,DIMTS
DL1PD5277,False,DIMTS
DL1PD5279,False,DIMTS
DL1PD5283,False,DIMTS
DL1PD5295,False,DIMTS
DL1PD5296,False,DIMTS
DL1PD5310,False,DIMTS
DL1PD5317,False,DIMTS
DL1PD5321,False,DIMTS
DL1PD5332,False,DIMTS
DL1PD5351,False,DIMTS
DL1PD5352,False,DIMTS
DL1PD5353,False,DIMTS
DL1PD5359,False,DIMTS
DL1PD5364,False,DIMTS
DL1PD5379,False,DIMTS
DL1PD5460,False,DIMTS
DL1PD5504,False,DIMTS
DL1PD5523,False,DIMTS
DL1PD5168,True,DIMTS
DL1PD5193,True,DIMTS
DL1PD5202,True,DIMTS
DL1PD5210,True,DIMTS
DL1PD5214,True,DIMTS
DL1PD5215,True,DIMTS
DL1PD5216,True,DIMTS
DL1PD5219,True,DIMTS
DL1PD5223,True,DIMTS
DL1PD5225,True,DIMTS
DL1PD5237,True,DIMTS
DL1PD5240,True,DIMTS
DL1PD5257,True,DIMTS
DL1PD5261,True,DIMTS
DL1PD5275,True,DIMTS
DL1PD5382,True,DIMTS
DL1PD5394,True,DIMTS
DL1PD5398,True,DIMTS
DL1PD5412,True,DIMTS
DL1PD5414,True,DIMTS
DL1PD5439,True,DIMTS
DL1PD5441,True,DIMTS
DL1PD5451,True,DIMTS
DL1PD5455,True,DIMTS
DL1PD5456,True,DIMTS
DL1PD5457,True,DIMTS
DL1PD5459,True,DIMTS
DL1PD5463,True,DIMTS
DL1PD5467,True,DIMTS
DL1PD5477,True,DIMTS
DL1PD5478,True,DIMTS
DL1PD5480,True,DIMTS
DL1PD5482,True,DIMTS
DL1PD5483,True,DIMTS
DL1PD5484,True,DIMTS
DL1PD5486,True,DIMTS
DL1PD5487,True,DIMTS
DL1PD5489,True,DIMTS
DL1PD5490,True,DIMTS
DL1PD5491,True,DIMTS
DL1PD5494,True,DIMTS
DL1PD5495,True,DIMTS
DL1PD5498,True,DIMTS
DL1PD5500,True,DIMTS
DL1PD5503,True,DIMTS
DL1PD5509,True,DIMTS
DL1PD5511,True,DIMTS
DL1PD5512,True,DIMTS
DL1PD5513,True,DIMTS
DL1PD5516,True,DIMTS
DL1PD5518,True,DIMTS
DL1PD5520,True,DIMTS
DL1PD5522,True,DIMTS
DL1PD5524,True,DIMTS
DL1PD5526,True,DIMTS
DL1PD5527,True,DIMTS
DL1PD5529,True,DIMTS
DL1PD5530,True,DIMTS
DL1PD5532,True,DIMTS
DL1PD5535,True,DIMTS
