"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 23:59:14.359",DL1PC9997,"POINT (77.095756 28.675093)","Apr 18, 2023 @ 23:59:01.000"
"Apr 18, 2023 @ 23:58:10.736",DL1PC9997,"POINT (77.095719 28.675009)","Apr 18, 2023 @ 23:58:01.000"
"Apr 18, 2023 @ 23:57:07.705",DL1PC9997,"POINT (77.09584 28.67504)","Apr 18, 2023 @ 23:56:51.000"
"Apr 18, 2023 @ 23:55:58.407",DL1PC9997,"POINT (77.096019 28.67503)","Apr 18, 2023 @ 23:55:51.000"
"Apr 18, 2023 @ 23:54:39.858",DL1PC9997,"POINT (77.095927 28.67499)","Apr 18, 2023 @ 23:54:31.000"
"Apr 18, 2023 @ 23:53:20.447",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:53:11.000"
"Apr 18, 2023 @ 23:52:19.858",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:52:01.000"
"Apr 18, 2023 @ 23:51:02.125",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:50:51.000"
"Apr 18, 2023 @ 23:49:20.299",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:49:11.000"
"Apr 18, 2023 @ 23:48:00.353",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:47:51.000"
"Apr 18, 2023 @ 23:46:26.230",DL1PC9997,"POINT (77.095962 28.67503)","Apr 18, 2023 @ 23:46:11.000"
"Apr 18, 2023 @ 23:45:20.353",DL1PC9997,"POINT (77.0959 28.674931)","Apr 18, 2023 @ 23:45:11.000"
"Apr 18, 2023 @ 23:44:20.287",DL1PC9997,"POINT (77.0959 28.674931)","Apr 18, 2023 @ 23:44:11.000"
"Apr 18, 2023 @ 23:43:06.040",DL1PC9997,"POINT (77.095805 28.674961)","Apr 18, 2023 @ 23:42:51.000"
"Apr 18, 2023 @ 23:42:04.938",DL1PC9997,"POINT (77.095873 28.674916)","Apr 18, 2023 @ 23:41:51.000"
"Apr 18, 2023 @ 23:40:21.520",DL1PC9997,"POINT (77.095717 28.674913)","Apr 18, 2023 @ 23:40:11.000"
"Apr 18, 2023 @ 23:39:12.298",DL1PC9997,"POINT (77.095903 28.674976)","Apr 18, 2023 @ 23:39:01.000"
"Apr 18, 2023 @ 23:38:04.733",DL1PC9997,"POINT (77.095903 28.674976)","Apr 18, 2023 @ 23:37:51.000"
"Apr 18, 2023 @ 23:37:04.437",DL1PC9997,"POINT (77.095903 28.674976)","Apr 18, 2023 @ 23:36:51.000"
"Apr 18, 2023 @ 23:35:40.272",DL1PC9997,"POINT (77.096059 28.675036)","Apr 18, 2023 @ 23:35:31.000"
"Apr 18, 2023 @ 23:34:40.118",DL1PC9997,"POINT (77.095967 28.675065)","Apr 18, 2023 @ 23:34:31.000"
"Apr 18, 2023 @ 23:33:20.259",DL1PC9997,"POINT (77.095967 28.675065)","Apr 18, 2023 @ 23:33:11.000"
"Apr 18, 2023 @ 23:32:10.511",DL1PC9997,"POINT (77.095839 28.675131)","Apr 18, 2023 @ 23:32:01.000"
"Apr 18, 2023 @ 23:31:08.394",DL1PC9997,"POINT (77.095944 28.675106)","Apr 18, 2023 @ 23:30:51.000"
"Apr 18, 2023 @ 23:29:58.296",DL1PC9997,"POINT (77.096116 28.675066)","Apr 18, 2023 @ 23:29:41.000"
"Apr 18, 2023 @ 23:28:47.532",DL1PC9997,"POINT (77.096029 28.675118)","Apr 18, 2023 @ 23:28:31.000"
"Apr 18, 2023 @ 23:27:45.678",DL1PC9997,"POINT (77.095918 28.675085)","Apr 18, 2023 @ 23:27:31.000"
"Apr 18, 2023 @ 23:26:38.877",DL1PC9997,"POINT (77.095974 28.675106)","Apr 18, 2023 @ 23:26:31.000"
"Apr 18, 2023 @ 23:25:28.171",DL1PC9997,"POINT (77.096102 28.675131)","Apr 18, 2023 @ 23:25:11.000"
"Apr 18, 2023 @ 23:24:20.388",DL1PC9997,"POINT (77.096099 28.675128)","Apr 18, 2023 @ 23:24:11.000"
"Apr 18, 2023 @ 23:23:19.806",DL1PC9997,"POINT (77.096073 28.675033)","Apr 18, 2023 @ 23:23:11.000"
"Apr 18, 2023 @ 23:22:16.288",DL1PC9997,"POINT (77.096037 28.675076)","Apr 18, 2023 @ 23:22:01.000"
"Apr 18, 2023 @ 23:21:09.180",DL1PC9997,"POINT (77.096138 28.675048)","Apr 18, 2023 @ 23:21:01.000"
"Apr 18, 2023 @ 23:19:59.343",DL1PC9997,"POINT (77.096152 28.674871)","Apr 18, 2023 @ 23:19:51.000"
"Apr 18, 2023 @ 23:18:47.721",DL1PC9997,"POINT (77.095952 28.675041)","Apr 18, 2023 @ 23:18:31.000"
"Apr 18, 2023 @ 23:17:38.423",DL1PC9997,"POINT (77.096006 28.67514)","Apr 18, 2023 @ 23:17:31.000"
"Apr 18, 2023 @ 23:16:28.248",DL1PC9997,"POINT (77.095911 28.675189)","Apr 18, 2023 @ 23:16:11.000"
"Apr 18, 2023 @ 23:15:19.848",DL1PC9997,"POINT (77.09596 28.675171)","Apr 18, 2023 @ 23:15:11.000"
"Apr 18, 2023 @ 23:14:14.614",DL1PC9997,"POINT (77.095508 28.675414)","Apr 18, 2023 @ 23:14:01.000"
"Apr 18, 2023 @ 23:13:05.538",DL1PC9997,"POINT (77.095624 28.675466)","Apr 18, 2023 @ 23:12:51.000"
"Apr 18, 2023 @ 23:12:03.662",DL1PC9997,"POINT (77.095567 28.675481)","Apr 18, 2023 @ 23:11:51.000"
"Apr 18, 2023 @ 23:11:03.828",DL1PC9997,"POINT (77.095579 28.675378)","Apr 18, 2023 @ 23:10:51.000"
"Apr 18, 2023 @ 23:09:57.689",DL1PC9997,"POINT (77.095472 28.675471)","Apr 18, 2023 @ 23:09:41.000"
"Apr 18, 2023 @ 23:08:47.513",DL1PC9997,"POINT (77.095569 28.675406)","Apr 18, 2023 @ 23:08:31.000"
"Apr 18, 2023 @ 23:07:42.165",DL1PC9997,"POINT (77.095632 28.675398)","Apr 18, 2023 @ 23:07:31.000"
"Apr 18, 2023 @ 23:06:39.672",DL1PC9997,"POINT (77.095723 28.67545)","Apr 18, 2023 @ 23:06:31.000"
"Apr 18, 2023 @ 23:05:19.856",DL1PC9997,"POINT (77.0956 28.675438)","Apr 18, 2023 @ 23:05:11.000"
"Apr 18, 2023 @ 23:04:17.392",DL1PC9997,"POINT (77.095715 28.675498)","Apr 18, 2023 @ 23:04:01.000"
"Apr 18, 2023 @ 23:03:10.772",DL1PC9997,"POINT (77.095775 28.675441)","Apr 18, 2023 @ 23:03:01.000"
"Apr 18, 2023 @ 23:02:06.190",DL1PC9997,"POINT (77.095865 28.675369)","Apr 18, 2023 @ 23:01:51.000"
"Apr 18, 2023 @ 23:01:00.846",DL1PC9997,"POINT (77.095865 28.675369)","Apr 18, 2023 @ 23:00:51.000"
"Apr 18, 2023 @ 22:59:52.205",DL1PC9997,"POINT (77.095865 28.675369)","Apr 18, 2023 @ 22:59:41.000"
"Apr 18, 2023 @ 22:58:28.257",DL1PC9997,"POINT (77.09592 28.675256)","Apr 18, 2023 @ 22:57:41.000"
"Apr 18, 2023 @ 22:57:19.755",DL1PC9997,"POINT (77.09592 28.675256)","Apr 18, 2023 @ 22:57:11.000"
"Apr 18, 2023 @ 22:56:17.977",DL1PC9997,"POINT (77.09592 28.675256)","Apr 18, 2023 @ 22:56:01.000"
"Apr 18, 2023 @ 22:54:20.249",DL1PC9997,"POINT (77.095801 28.67525)","Apr 18, 2023 @ 22:54:11.000"
"Apr 18, 2023 @ 22:52:50.200",DL1PC9997,"POINT (77.095875 28.675223)","Apr 18, 2023 @ 22:52:41.000"
"Apr 18, 2023 @ 22:51:24.418",DL1PC9997,"POINT (77.095884 28.675351)","Apr 18, 2023 @ 22:51:11.000"
"Apr 18, 2023 @ 22:50:20.446",DL1PC9997,"POINT (77.095832 28.67532)","Apr 18, 2023 @ 22:50:11.000"
"Apr 18, 2023 @ 22:48:48.181",DL1PC9997,"POINT (77.09599 28.675183)","Apr 18, 2023 @ 22:48:31.000"
"Apr 18, 2023 @ 22:47:19.776",DL1PC9997,"POINT (77.09599 28.675183)","Apr 18, 2023 @ 22:47:11.000"
"Apr 18, 2023 @ 22:46:18.247",DL1PC9997,"POINT (77.095905 28.675114)","Apr 18, 2023 @ 22:46:01.000"
"Apr 18, 2023 @ 22:44:52.127",DL1PC9997,"POINT (77.095905 28.675114)","Apr 18, 2023 @ 22:44:41.000"
"Apr 18, 2023 @ 22:43:20.326",DL1PC9997,"POINT (77.09585 28.675128)","Apr 18, 2023 @ 22:43:11.000"
"Apr 18, 2023 @ 22:42:19.792",DL1PC9997,"POINT (77.095947 28.675155)","Apr 18, 2023 @ 22:42:11.000"
"Apr 18, 2023 @ 22:41:18.235",DL1PC9997,"POINT (77.09604 28.675221)","Apr 18, 2023 @ 22:41:01.000"
"Apr 18, 2023 @ 22:39:59.867",DL1PC9997,"POINT (77.096 28.675188)","Apr 18, 2023 @ 22:39:51.000"
"Apr 18, 2023 @ 22:38:48.046",DL1PC9997,"POINT (77.095911 28.675108)","Apr 18, 2023 @ 22:38:31.000"
"Apr 18, 2023 @ 22:37:25.040",DL1PC9997,"POINT (77.096001 28.67521)","Apr 18, 2023 @ 22:37:11.000"
"Apr 18, 2023 @ 22:36:21.747",DL1PC9997,"POINT (77.09593 28.675138)","Apr 18, 2023 @ 22:36:11.000"
"Apr 18, 2023 @ 22:35:20.449",DL1PC9997,"POINT (77.095955 28.675081)","Apr 18, 2023 @ 22:35:11.000"
"Apr 18, 2023 @ 22:34:20.509",DL1PC9997,"POINT (77.094797 28.67512)","Apr 18, 2023 @ 22:34:11.000"
"Apr 18, 2023 @ 22:33:20.253",DL1PC9997,"POINT (77.094023 28.675911)","Apr 18, 2023 @ 22:33:11.000"
"Apr 18, 2023 @ 22:32:20.253",DL1PC9997,"POINT (77.095029 28.6819)","Apr 18, 2023 @ 22:32:11.000"
"Apr 18, 2023 @ 22:31:00.582",DL1PC9997,"POINT (77.09609 28.687153)","Apr 18, 2023 @ 22:30:51.000"
"Apr 18, 2023 @ 22:29:57.063",DL1PC9997,"POINT (77.096029 28.688686)","Apr 18, 2023 @ 22:29:41.000"
"Apr 18, 2023 @ 22:28:48.085",DL1PC9997,"POINT (77.09385 28.687756)","Apr 18, 2023 @ 22:28:31.000"
"Apr 18, 2023 @ 22:27:19.761",DL1PC9997,"POINT (77.093823 28.687779)","Apr 18, 2023 @ 22:27:11.000"
"Apr 18, 2023 @ 22:26:07.814",DL1PC9997,"POINT (77.091478 28.688364)","Apr 18, 2023 @ 22:25:51.000"
"Apr 18, 2023 @ 22:25:04.689",DL1PC9997,"POINT (77.091748 28.691885)","Apr 18, 2023 @ 22:24:51.000"
"Apr 18, 2023 @ 22:23:47.967",DL1PC9997,"POINT (77.091944 28.695686)","Apr 18, 2023 @ 22:23:31.000"
