agency_id,route_id,route_long_name,route_short_name,route_type
DIMTS,0,764MSTLDOWN,,3
DIMTS,1,102STLDOWN,,3
DIMTS,2,819STLDOWN,,3
DIMTS,3,138UP,,3
DIMTS,4,978STLDOWN,,3
DIMTS,5,CGOCOMPLEX-2DOWN,,3
DIMTS,6,790AUP2,,3
DIMTS,7,829STLUP,,3
DIMTS,8,847AUP,,3
DIMTS,9,943LSTLUP,,3
DIMTS,10,993DOWN,,3
DIMTS,11,810UP,,3
DIMTS,12,849UP,,3
DIMTS,13,33STLUP,,3
DIMTS,14,136LSTLDOWN,,3
DIMTS,15,241UP,,3
DIMTS,16,149LSTLUP,,3
DIMTS,17,199LSTLUP,,3
DIMTS,18,144AUP,,3
DIMTS,19,770AUP,,3
DIMTS,20,405ALSTLDOWN,,3
DIMTS,21,370STLUP,,3
DIMTS,22,753ADOWN,,3
DIMTS,23,728LSTLUP,,3
DIMTS,24,817ASTLDOWN,,3
DIMTS,25,790BDOWN,,3
DIMTS,26,353STLDOWN,,3
DIMTS,27,CBD3(+)UP,,3
DIMTS,28,982LNKSTLDOWN,,3
DIMTS,29,849STLUP,,3
DIMTS,30,131DOWN,,3
DIMTS,31,834STLDOWN,,3
DIMTS,32,724DOWN,,3
DIMTS,33,978LSTLUP,,3
DIMTS,34,CGOCOMPLEX-2UP,,3
DIMTS,35,740BUP,,3
DIMTS,36,154UP,,3
DIMTS,37,103DOWN,,3
DIMTS,38,311DOWN,,3
DIMTS,39,511ADOWN,,3
DIMTS,40,950UP,,3
DIMTS,41,772UP,,3
DIMTS,42,764DMSTLDOWN,,3
DIMTS,43,926EUP,,3
DIMTS,44,892AUP,,3
DIMTS,45,119LNKSTLDOWN,,3
DIMTS,46,507CLDOWN,,3
DIMTS,47,104DOWN,,3
DIMTS,48,205LSTLDOWN,,3
DIMTS,49,120DOWN,,3
DIMTS,50,722UP,,3
DIMTS,51,701STLDOWN,,3
DIMTS,52,254AUP,,3
DIMTS,53,892ADOWN,,3
DIMTS,54,992UP,,3
DIMTS,55,507CLUP,,3
DIMTS,56,934AUP,,3
DIMTS,57,873STLUP,,3
DIMTS,58,906UP,,3
