route_id,service_id,trip_id,shape_id
0,1,0_06_00,
1,1,1_21_02,
2,1,2_21_08,
3,1,3_09_42,
4,1,4_09_42,
5,1,5_09_42,
6,1,6_09_42,
7,1,7_07_40,
8,1,8_20_52,
9,1,9_20_52,
10,1,10_11_32,
11,1,11_07_36,
12,1,12_07_22,
13,1,13_07_22,
14,1,14_07_22,
15,1,15_19_14,
16,1,16_19_14,
17,1,17_19_14,
18,1,18_12_37,
19,1,19_12_36,
20,1,20_12_36,
21,1,21_12_36,
22,1,22_12_36,
23,1,23_12_36,
24,1,24_06_14,
25,1,25_15_05,
26,1,26_06_07,
27,1,27_08_47,
28,1,28_08_47,
29,1,29_08_47,
30,1,30_07_22,
31,1,31_07_22,
32,1,32_18_44,
33,1,33_23_34,
34,1,34_23_34,
35,1,35_23_34,
36,1,36_19_06,
37,1,37_06_19,
38,1,38_06_19,
39,1,39_06_19,
40,1,40_08_09,
41,1,41_15_58,
42,1,42_15_58,
43,1,43_15_58,
44,1,44_17_08,
45,1,45_15_18,
46,1,46_14_15,
47,1,47_17_12,
48,1,48_17_12,
49,1,49_18_27,
50,1,50_18_27,
51,1,51_20_22,
52,1,52_20_22,
53,1,53_15_15,
54,1,54_05_54,
55,1,55_16_00,
56,1,56_05_48,
57,1,57_05_34,
58,1,58_16_00,
59,1,59_16_00,
60,1,60_14_55,
61,1,61_05_48,
62,1,62_05_48,
63,1,63_06_07,
64,1,64_20_52,
65,1,65_05_42,
66,1,66_16_00,
67,1,67_08_17,
68,1,68_15_25,
69,1,69_07_26,
70,1,70_07_26,
71,1,71_07_26,
72,1,72_19_03,
73,1,73_22_50,
74,1,74_20_02,
75,1,75_19_14,
76,1,76_19_14,
77,1,77_09_45,
78,1,78_09_45,
79,1,79_09_45,
80,1,80_15_13,
81,1,81_11_04,
82,1,82_19_59,
83,1,83_22_30,
84,1,84_22_30,
85,1,85_07_12,
86,1,86_07_12,
87,1,87_05_45,
88,1,88_05_45,
89,1,89_05_45,
90,1,90_05_05,
91,1,91_05_05,
92,1,92_15_58,
93,1,93_15_58,
94,1,94_15_58,
95,1,95_15_58,
96,1,96_08_35,
97,1,97_08_35,
98,1,98_15_09,
99,1,99_15_09,
100,1,100_15_09,
101,1,101_19_14,
102,1,102_19_14,
103,1,103_19_14,
104,1,104_19_14,
105,1,105_12_01,
106,1,106_05_45,
107,1,107_05_45,
108,1,108_17_40,
109,1,109_17_40,
110,1,110_19_16,
111,1,111_19_16,
112,1,112_13_55,
113,1,113_19_50,
114,1,114_19_50,
115,1,115_19_50,
116,1,116_19_50,
117,1,117_19_50,
118,1,118_19_50,
119,1,119_15_58,
120,1,120_11_44,
121,1,121_16_00,
122,1,122_16_00,
123,1,123_16_00,
124,1,124_16_00,
125,1,125_16_00,
126,1,126_16_00,
127,1,127_21_17,
128,1,128_16_00,
129,1,129_08_29,
130,1,130_08_29,
131,1,131_15_27,
132,1,132_15_27,
133,1,133_08_17,
134,1,134_10_07,
135,1,135_10_07,
136,1,136_10_07,
137,1,137_16_13,
138,1,138_16_13,
139,1,139_15_15,
140,1,140_11_04,
141,1,141_11_04,
142,1,142_15_41,
143,1,143_15_41,
144,1,144_15_41,
145,1,145_17_12,
146,1,146_17_12,
147,1,147_17_12,
148,1,148_11_02,
149,1,149_21_17,
150,1,150_17_12,
151,1,151_05_48,
152,1,152_05_20,
153,1,153_23_28,
154,1,154_20_20,
155,1,155_08_48,
156,1,156_08_48,
157,1,157_08_48,
158,1,158_08_48,
159,1,159_17_12,
160,1,160_15_25,
161,1,161_05_48,
162,1,162_05_48,
163,1,163_05_48,
164,1,164_05_48,
165,1,165_05_48,
166,1,166_17_28,
167,1,167_15_42,
168,1,168_15_42,
169,1,169_06_33,
170,1,170_18_27,
171,1,171_19_50,
172,1,172_16_13,
173,1,173_06_14,
174,1,174_04_05,
175,1,175_10_10,
176,1,176_10_10,
177,1,177_06_03,
178,1,178_11_08,
179,1,179_11_08,
180,1,180_20_47,
181,1,181_20_47,
182,1,182_19_16,
183,1,183_19_16,
184,1,184_19_16,
185,1,185_07_52,
186,1,186_15_10,
187,1,187_11_09,
188,1,188_21_45,
189,1,189_15_58,
190,1,190_18_00,
191,1,191_18_00,
192,1,192_05_42,
193,1,193_05_42,
194,1,194_05_42,
195,1,195_05_42,
196,1,196_05_42,
197,1,197_05_42,
198,1,198_05_42,
199,1,199_15_25,
200,1,200_15_25,
201,1,201_15_25,
202,1,202_09_13,
203,1,203_09_13,
204,1,204_09_13,
205,1,205_08_29,
206,1,206_08_29,
207,1,207_15_00,
208,1,208_15_00,
209,1,209_21_50,
210,1,210_11_00,
211,1,211_23_47,
212,1,212_13_36,
213,1,213_19_16,
214,1,214_19_16,
215,1,215_06_05,
216,1,216_07_49,
217,1,217_07_49,
218,1,218_10_10,
219,1,219_07_22,
220,1,220_11_00,
221,1,221_05_51,
222,1,222_04_40,
223,1,223_11_08,
224,1,224_11_08,
225,1,225_15_15,
226,1,226_15_32,
227,1,227_05_13,
228,1,228_05_13,
229,1,229_10_10,
230,1,230_10_10,
231,1,231_10_10,
232,1,232_13_42,
233,1,233_15_25,
234,1,234_12_05,
235,1,235_15_00,
236,1,236_16_05,
237,1,237_19_52,
238,1,238_18_06,
239,1,239_18_06,
240,1,240_18_00,
241,1,241_18_00,
242,1,242_19_30,
243,1,243_09_30,
244,1,244_08_14,
245,1,245_21_05,
246,1,246_21_05,
247,1,247_06_19,
248,1,248_05_53,
249,1,249_05_53,
250,1,250_22_03,
251,1,251_11_51,
252,1,252_12_01,
253,1,253_12_01,
254,1,254_10_00,
255,1,255_10_00,
256,1,256_07_22,
257,1,257_07_22,
258,1,258_07_22,
259,1,259_13_06,
260,1,260_18_44,
261,1,261_18_44,
262,1,262_15_58,
263,1,263_15_58,
264,1,264_06_07,
265,1,265_22_38,
266,1,266_21_02,
267,1,267_17_40,
268,1,268_22_56,
269,1,269_19_50,
270,1,270_08_19,
271,1,271_08_19,
272,1,272_08_19,
273,1,273_06_12,
274,1,274_05_48,
275,1,275_23_37,
276,1,276_21_17,
277,1,277_09_12,
278,1,278_00_06,
279,1,279_00_06,
280,1,280_19_56,
281,1,281_05_48,
282,1,282_05_51,
283,1,283_15_27,
284,1,284_14_11,
285,1,285_08_27,
286,1,286_11_08,
287,1,287_21_57,
288,1,288_09_25,
289,1,289_15_10,
290,1,290_19_16,
291,1,291_08_29,
292,1,292_18_44,
293,1,293_18_44,
294,1,294_05_32,
295,1,295_07_14,
296,1,296_15_58,
297,1,297_20_36,
298,1,298_16_00,
299,1,299_20_52,
300,1,300_20_52,
301,1,301_20_52,
302,1,302_17_30,
303,1,303_22_17,
304,1,304_22_17,
305,1,305_22_17,
306,1,306_21_55,
307,1,307_21_55,
308,1,308_21_45,
309,1,309_18_27,
310,1,310_18_27,
311,1,311_18_27,
